parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
185	L_V3_ROI	337	1.0	OtherL	309	91.69139465875371
186	L_V4_ROI	361	1.0	OtherL	359	99.44598337950139
187	L_V8_ROI	49	1.0	OtherL	49	100.0
188	L_4_ROI	839	1.0	OtherL	839	100.0
189	L_3b_ROI	574	1.0	OtherL	574	100.0
190	L_FEF_ROI	153	1.0	OtherL	145	94.77124183006535
191	L_PEF_ROI	72	1.0	OtherL	62	86.11111111111111
192	L_55b_ROI	130	1.0	OtherL	70	53.84615384615385
193	L_V3A_ROI	151	1.0	OtherL	151	100.0
194	L_RSC_ROI	211	9.0	PCingPrecunL	155	73.45971563981043
195	L_POS2_ROI	250	9.0	PCingPrecunL	187	74.8
196	L_V7_ROI	44	1.0	OtherL	33	75.0
197	L_IPS1_ROI	135	1.0	OtherL	98	72.5925925925926
198	L_FFC_ROI	151	5.0	TemporalL	125	82.78145695364239
199	L_V3B_ROI	77	1.0	OtherL	77	100.0
200	L_LO1_ROI	37	1.0	OtherL	37	100.0
201	L_LO2_ROI	52	1.0	OtherL	52	100.0
202	L_PIT_ROI	62	1.0	OtherL	47	75.80645161290323
203	L_MT_ROI	58	1.0	OtherL	31	53.44827586206896
204	L_A1_ROI	77	1.0	OtherL	77	100.0
205	L_PSL_ROI	163	1.0	OtherL	163	100.0
206	L_SFL_ROI	185	3.0	FrontalL	136	73.51351351351352
207	L_PCV_ROI	164	1.0	OtherL	90	54.87804878048781
208	L_STV_ROI	138	1.0	OtherL	117	84.78260869565217
209	L_7Pm_ROI	94	9.0	PCingPrecunL	58	61.702127659574465
210	L_7m_ROI	130	9.0	PCingPrecunL	126	96.92307692307692
211	L_POS1_ROI	225	9.0	PCingPrecunL	225	100.0
212	L_23d_ROI	81	3.0	FrontalL	39	48.148148148148145
213	L_v23ab_ROI	72	9.0	PCingPrecunL	72	100.0
214	L_d23ab_ROI	88	9.0	PCingPrecunL	88	100.0
215	L_31pv_ROI	109	9.0	PCingPrecunL	109	100.0
216	L_5m_ROI	112	1.0	OtherL	112	100.0
217	L_5mv_ROI	191	1.0	OtherL	191	100.0
218	L_23c_ROI	243	1.0	OtherL	234	96.29629629629629
219	L_5L_ROI	188	1.0	OtherL	188	100.0
220	L_24dd_ROI	223	1.0	OtherL	223	100.0
221	L_24dv_ROI	141	1.0	OtherL	141	100.0
222	L_7AL_ROI	204	1.0	OtherL	204	100.0
223	L_SCEF_ROI	203	1.0	OtherL	166	81.77339901477832
224	L_6ma_ROI	178	1.0	OtherL	150	84.26966292134831
225	L_7Am_ROI	208	1.0	OtherL	206	99.03846153846155
226	L_7PL_ROI	97	1.0	OtherL	97	100.0
227	L_7PC_ROI	171	1.0	OtherL	171	100.0
228	L_LIPv_ROI	130	1.0	OtherL	126	96.92307692307692
229	L_VIP_ROI	116	1.0	OtherL	114	98.27586206896551
230	L_MIP_ROI	159	7.0	AngularL	83	52.20125786163522
231	L_1_ROI	401	1.0	OtherL	401	100.0
232	L_2_ROI	574	1.0	OtherL	574	100.0
233	L_3a_ROI	305	1.0	OtherL	305	100.0
234	L_6d_ROI	154	1.0	OtherL	154	100.0
235	L_6mp_ROI	258	1.0	OtherL	258	100.0
236	L_6v_ROI	85	1.0	OtherL	78	91.76470588235294
237	L_p24pr_ROI	81	1.0	OtherL	57	70.37037037037037
238	L_33pr_ROI	55	3.0	FrontalL	50	90.9090909090909
239	L_a24pr_ROI	94	1.0	OtherL	78	82.97872340425532
240	L_p32pr_ROI	139	1.0	OtherL	102	73.38129496402878
241	L_a24_ROI	90	1.0	OtherL	88	97.77777777777777
242	L_d32_ROI	120	3.0	FrontalL	110	91.66666666666666
243	L_8BM_ROI	174	3.0	FrontalL	174	100.0
244	L_p32_ROI	99	1.0	OtherL	84	84.84848484848484
245	L_10r_ROI	94	3.0	FrontalL	77	81.91489361702128
246	L_47m_ROI	53	3.0	FrontalL	53	100.0
247	L_8Av_ROI	199	3.0	FrontalL	197	98.99497487437185
248	L_8Ad_ROI	242	3.0	FrontalL	242	100.0
249	L_9m_ROI	275	3.0	FrontalL	243	88.36363636363636
250	L_8BL_ROI	151	3.0	FrontalL	151	100.0
251	L_9p_ROI	147	3.0	FrontalL	147	100.0
252	L_10d_ROI	153	3.0	FrontalL	153	100.0
253	L_8C_ROI	257	3.0	FrontalL	252	98.0544747081712
254	L_44_ROI	139	3.0	FrontalL	109	78.41726618705036
255	L_45_ROI	200	3.0	FrontalL	200	100.0
256	L_47l_ROI	113	3.0	FrontalL	113	100.0
257	L_a47r_ROI	176	3.0	FrontalL	169	96.02272727272727
258	L_6r_ROI	242	1.0	OtherL	208	85.9504132231405
259	L_IFJa_ROI	88	3.0	FrontalL	84	95.45454545454545
260	L_IFJp_ROI	87	3.0	FrontalL	77	88.50574712643679
261	L_IFSp_ROI	103	3.0	FrontalL	103	100.0
262	L_IFSa_ROI	159	3.0	FrontalL	154	96.85534591194968
263	L_p9-46v_ROI	128	3.0	FrontalL	128	100.0
264	L_46_ROI	213	1.0	OtherL	150	70.4225352112676
265	L_a9-46v_ROI	126	3.0	FrontalL	104	82.53968253968253
266	L_9-46d_ROI	267	3.0	FrontalL	167	62.546816479400746
267	L_9a_ROI	151	3.0	FrontalL	151	100.0
268	L_10v_ROI	133	3.0	FrontalL	116	87.21804511278195
