parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
245	L_10r_ROI	94	3	L_Frontal	65	69.14893617021278	10r_ROI	Frontal	123	168	123	0.7321428571428571
246	L_47m_ROI	53	3	L_Frontal	53	100.0	47m_ROI	Frontal	114	114	114	1.0
247	L_8Av_ROI	199	3	L_Frontal	199	100.0	8Av_ROI	Frontal	406	406	406	1.0
248	L_8Ad_ROI	242	3	L_Frontal	240	99.17355371900827	8Ad_ROI	Frontal	446	481	446	0.9272349272349273
249	L_9m_ROI	275	3	L_Frontal	209	76.0	9m_ROI	Frontal	402	541	402	0.7430683918669131
250	L_8BL_ROI	151	3	L_Frontal	151	100.0	8BL_ROI	Frontal	341	341	341	1.0
251	L_9p_ROI	147	3	L_Frontal	147	100.0	9p_ROI	Frontal	250	250	250	1.0
252	L_10d_ROI	153	3	L_Frontal	153	100.0	10d_ROI	Frontal	266	271	266	0.981549815498155
253	L_8C_ROI	257	3	L_Frontal	257	100.0	8C_ROI	Frontal	500	500	500	1.0
254	L_44_ROI	139	3	L_Frontal	118	84.89208633093526	44_ROI	Frontal	263	284	263	0.926056338028169
255	L_45_ROI	200	3	L_Frontal	200	100.0	45_ROI	Frontal	335	335	335	1.0
256	L_47l_ROI	113	3	L_Frontal	113	100.0	47l_ROI	Frontal	228	228	228	1.0
257	L_a47r_ROI	176	3	L_Frontal	173	98.29545454545455	a47r_ROI	Frontal	342	350	342	0.9771428571428571
258	L_6r_ROI	242	1	L_Other	199	82.23140495867769	6r_ROI	Other	364	505	364	0.7207920792079208
259	L_IFJa_ROI	88	3	L_Frontal	86	97.72727272727273	IFJa_ROI	Frontal	165	167	165	0.9880239520958084
260	L_IFJp_ROI	87	3	L_Frontal	76	87.35632183908046	IFJp_ROI	Frontal	139	150	139	0.9266666666666666
261	L_IFSp_ROI	103	3	L_Frontal	103	100.0	IFSp_ROI	Frontal	236	236	236	1.0
262	L_IFSa_ROI	159	3	L_Frontal	152	95.59748427672956	IFSa_ROI	Frontal	301	315	301	0.9555555555555556
263	L_p9-46v_ROI	128	3	L_Frontal	128	100.0	p9-46v_ROI	Frontal	301	309	301	0.9741100323624595
264	L_46_ROI	213	1	L_Other	123	57.74647887323944	46_ROI	Other	314	456	314	0.6885964912280702
265	L_a9-46v_ROI	126	3	L_Frontal	104	82.53968253968253	a9-46v_ROI	Frontal	193	221	193	0.8733031674208145
266	L_9-46d_ROI	267	1	L_Other	187	70.0374531835206	9-46d_ROI	Other	281	516	281	0.5445736434108527
267	L_9a_ROI	151	3	L_Frontal	148	98.01324503311258	9a_ROI	Frontal	279	282	279	0.9893617021276596
268	L_10v_ROI	133	3	L_Frontal	124	93.23308270676691	10v_ROI	Frontal	222	231	222	0.961038961038961
269	L_a10p_ROI	105	3	L_Frontal	104	99.04761904761905	a10p_ROI	Frontal	172	176	172	0.9772727272727273
