parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
66	R_47m_ROI	61	2	R_Lateral	61	100.0	47m_ROI	Lateral	114	114	114	1.0
67	R_8Av_ROI	207	2	R_Lateral	194	93.71980676328504	8Av_ROI	Lateral	320	406	320	0.7881773399014779
68	R_8Ad_ROI	239	0	???	172	71.96652719665272	8Ad_ROI	???	385	481	385	0.8004158004158004
69	R_9m_ROI	266	0	???	266	100.0	9m_ROI	???	541	541	541	1.0
70	R_8BL_ROI	190	0	???	190	100.0	8BL_ROI	???	341	341	341	1.0
71	R_9p_ROI	103	0	???	103	100.0	9p_ROI	???	250	250	250	1.0
72	R_10d_ROI	118	0	???	118	100.0	10d_ROI	???	271	271	271	1.0
73	R_8C_ROI	243	2	R_Lateral	240	98.76543209876543	8C_ROI	Lateral	497	500	497	0.994
74	R_44_ROI	145	2	R_Lateral	138	95.17241379310344	44_ROI	Lateral	274	284	274	0.9647887323943662
75	R_45_ROI	135	2	R_Lateral	135	100.0	45_ROI	Lateral	335	335	335	1.0
76	R_47l_ROI	115	2	R_Lateral	115	100.0	47l_ROI	Lateral	228	228	228	1.0
77	R_a47r_ROI	174	2	R_Lateral	139	79.88505747126436	a47r_ROI	Lateral	310	350	310	0.8857142857142857
78	R_6r_ROI	263	0	???	177	67.30038022813687	6r_ROI	???	357	505	357	0.7069306930693069
79	R_IFJa_ROI	79	2	R_Lateral	79	100.0	IFJa_ROI	Lateral	167	167	167	1.0
80	R_IFJp_ROI	63	2	R_Lateral	63	100.0	IFJp_ROI	Lateral	150	150	150	1.0
81	R_IFSp_ROI	133	2	R_Lateral	133	100.0	IFSp_ROI	Lateral	236	236	236	1.0
82	R_IFSa_ROI	156	2	R_Lateral	156	100.0	IFSa_ROI	Lateral	315	315	315	1.0
83	R_p9-46v_ROI	181	2	R_Lateral	161	88.95027624309392	p9-46v_ROI	Lateral	282	309	282	0.912621359223301
84	R_46_ROI	243	0	???	176	72.42798353909465	46_ROI	???	300	456	300	0.6578947368421053
85	R_a9-46v_ROI	95	0	???	41	43.15789473684211	a9-46v_ROI	???	146	221	146	0.6606334841628959
86	R_9-46d_ROI	249	0	???	244	97.99196787148594	9-46d_ROI	???	502	516	502	0.9728682170542635
87	R_9a_ROI	131	0	???	131	100.0	9a_ROI	???	282	282	282	1.0
88	R_10v_ROI	98	0	???	98	100.0	10v_ROI	???	231	231	231	1.0
89	R_a10p_ROI	71	0	???	38	53.52112676056338	a10p_ROI	???	101	176	101	0.5738636363636364
90	R_10pp_ROI	96	0	???	96	100.0	10pp_ROI	???	191	191	191	1.0
91	R_11l_ROI	153	0	???	103	67.3202614379085	11l_ROI	???	234	323	234	0.7244582043343654
92	R_13l_ROI	82	2	R_Lateral	75	91.46341463414635	13l_ROI	Lateral	155	199	155	0.7788944723618091
93	R_OFC_ROI	352	0	???	337	95.73863636363636	OFC_ROI	???	665	680	665	0.9779411764705882
94	R_47s_ROI	146	2	R_Lateral	135	92.46575342465754	47s_ROI	Lateral	242	265	242	0.9132075471698113
95	R_LIPd_ROI	75	0	???	34	45.33333333333333	LIPd_ROI	???	93	174	93	0.5344827586206896
96	R_6a_ROI	339	0	???	262	77.28613569321534	6a_ROI	???	600	699	600	0.8583690987124464
97	R_i6-8_ROI	99	2	R_Lateral	94	94.94949494949495	i6-8_ROI	Lateral	161	185	161	0.8702702702702703
98	R_s6-8_ROI	86	0	???	86	100.0	s6-8_ROI	???	138	141	138	0.9787234042553191
99	R_43_ROI	135	0	???	135	100.0	43_ROI	???	261	261	261	1.0
100	R_OP4_ROI	215	0	???	215	100.0	OP4_ROI	???	427	427	427	1.0
101	R_OP1_ROI	92	0	???	92	100.0	OP1_ROI	???	227	227	227	1.0
102	R_OP2-3_ROI	87	0	???	87	100.0	OP2-3_ROI	???	228	228	228	1.0
103	R_52_ROI	53	0	???	53	100.0	52_ROI	???	125	125	125	1.0
104	R_RI_ROI	238	0	???	238	100.0	RI_ROI	???	443	443	443	1.0
105	R_PFcm_ROI	184	0	???	184	100.0	PFcm_ROI	???	315	315	315	1.0
106	R_PoI2_ROI	172	0	???	172	100.0	PoI2_ROI	???	333	333	333	1.0
107	R_TA2_ROI	111	0	???	90	81.08108108108108	TA2_ROI	???	158	182	158	0.8681318681318682
108	R_FOP4_ROI	156	0	???	103	66.02564102564102	FOP4_ROI	???	280	373	280	0.7506702412868632
109	R_MI_ROI	107	0	???	87	81.30841121495327	MI_ROI	???	182	224	182	0.8125
110	R_Pir_ROI	197	0	???	188	95.43147208121827	Pir_ROI	???	374	383	374	0.9765013054830287
111	R_AVI_ROI	150	2	R_Lateral	142	94.66666666666667	AVI_ROI	Lateral	247	276	247	0.894927536231884
112	R_AAIC_ROI	63	2	R_Lateral	52	82.53968253968253	AAIC_ROI	Lateral	100	139	100	0.7194244604316546
113	R_FOP1_ROI	71	0	???	67	94.36619718309859	FOP1_ROI	???	117	121	117	0.9669421487603306
114	R_FOP3_ROI	75	0	???	75	100.0	FOP3_ROI	???	159	159	159	1.0
115	R_FOP2_ROI	86	0	???	86	100.0	FOP2_ROI	???	190	190	190	1.0
116	R_PFt_ROI	193	0	???	193	100.0	PFt_ROI	???	388	388	388	1.0
117	R_AIP_ROI	371	0	???	371	100.0	AIP_ROI	???	680	680	680	1.0
118	R_EC_ROI	86	0	???	86	100.0	EC_ROI	???	172	172	172	1.0
119	R_PreS_ROI	169	0	???	169	100.0	PreS_ROI	???	328	328	328	1.0
120	R_H_ROI	208	0	???	208	100.0	H_ROI	???	441	441	441	1.0
121	R_ProS_ROI	133	0	???	133	100.0	ProS_ROI	???	271	271	271	1.0
122	R_PeEc_ROI	312	0	???	307	98.3974358974359	PeEc_ROI	???	546	557	546	0.9802513464991023
123	R_STGa_ROI	48	2	R_Lateral	48	100.0	STGa_ROI	Lateral	105	105	105	1.0
124	R_PBelt_ROI	96	0	???	96	100.0	PBelt_ROI	???	260	260	260	1.0
125	R_A5_ROI	199	2	R_Lateral	183	91.95979899497488	A5_ROI	Lateral	270	337	270	0.8011869436201781
126	R_PHA1_ROI	112	0	???	112	100.0	PHA1_ROI	???	220	220	220	1.0
127	R_PHA3_ROI	85	0	???	85	100.0	PHA3_ROI	???	205	205	205	1.0
128	R_STSda_ROI	188	2	R_Lateral	188	100.0	STSda_ROI	Lateral	308	311	308	0.9903536977491961
129	R_STSdp_ROI	210	2	R_Lateral	189	90.0	STSdp_ROI	Lateral	354	409	354	0.8655256723716381
