parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
99	R_43_ROI	135	0.0	???	135	100.0
100	R_OP4_ROI	215	0.0	???	215	100.0
101	R_OP1_ROI	92	0.0	???	92	100.0
102	R_OP2-3_ROI	87	0.0	???	87	100.0
103	R_52_ROI	53	0.0	???	53	100.0
104	R_RI_ROI	238	0.0	???	238	100.0
105	R_PFcm_ROI	184	0.0	???	184	100.0
106	R_PoI2_ROI	172	0.0	???	172	100.0
107	R_TA2_ROI	111	0.0	???	80	72.07207207207207
108	R_FOP4_ROI	156	0.0	???	124	79.48717948717949
109	R_MI_ROI	107	0.0	???	91	85.04672897196261
110	R_Pir_ROI	197	0.0	???	195	98.98477157360406
111	R_AVI_ROI	150	2.0	R_Lateral	149	99.33333333333333
112	R_AAIC_ROI	63	2.0	R_Lateral	54	85.71428571428571
113	R_FOP1_ROI	71	0.0	???	71	100.0
114	R_FOP3_ROI	75	0.0	???	75	100.0
115	R_FOP2_ROI	86	0.0	???	86	100.0
116	R_PFt_ROI	193	0.0	???	193	100.0
117	R_AIP_ROI	371	0.0	???	371	100.0
118	R_EC_ROI	86	0.0	???	86	100.0
119	R_PreS_ROI	169	0.0	???	169	100.0
120	R_H_ROI	208	0.0	???	205	98.5576923076923
121	R_ProS_ROI	133	0.0	???	133	100.0
122	R_PeEc_ROI	312	0.0	???	302	96.7948717948718
123	R_STGa_ROI	48	2.0	R_Lateral	48	100.0
124	R_PBelt_ROI	96	0.0	???	96	100.0
125	R_A5_ROI	199	2.0	R_Lateral	185	92.96482412060301
126	R_PHA1_ROI	112	0.0	???	112	100.0
127	R_PHA3_ROI	85	0.0	???	84	98.82352941176471
128	R_STSda_ROI	188	2.0	R_Lateral	188	100.0
129	R_STSdp_ROI	210	2.0	R_Lateral	175	83.33333333333334
130	R_STSvp_ROI	151	2.0	R_Lateral	151	100.0
131	R_TGd_ROI	418	2.0	R_Lateral	345	82.53588516746412
132	R_TE1a_ROI	105	2.0	R_Lateral	104	99.04761904761905
133	R_TE1p_ROI	226	2.0	R_Lateral	226	100.0
134	R_TE2a_ROI	279	2.0	R_Lateral	259	92.831541218638
135	R_TF_ROI	313	0.0	???	168	53.674121405750796
136	R_TE2p_ROI	145	2.0	R_Lateral	132	91.0344827586207
137	R_PHT_ROI	121	2.0	R_Lateral	119	98.34710743801654
138	R_PH_ROI	172	2.0	R_Lateral	141	81.97674418604652
139	R_TPOJ1_ROI	297	0.0	???	221	74.41077441077442
140	R_TPOJ2_ROI	143	0.0	???	99	69.23076923076923
141	R_TPOJ3_ROI	95	2.0	R_Lateral	84	88.42105263157895
142	R_DVT_ROI	130	0.0	???	110	84.61538461538461
143	R_PGp_ROI	153	2.0	R_Lateral	130	84.9673202614379
144	R_IP2_ROI	218	0.0	???	190	87.1559633027523
145	R_IP1_ROI	194	2.0	R_Lateral	194	100.0
146	R_IP0_ROI	95	2.0	R_Lateral	58	61.05263157894737
147	R_PFop_ROI	155	0.0	???	155	100.0
148	R_PF_ROI	383	0.0	???	383	100.0
149	R_PFm_ROI	471	0.0	???	282	59.87261146496815
150	R_PGi_ROI	377	2.0	R_Lateral	369	97.87798408488064
151	R_PGs_ROI	209	2.0	R_Lateral	209	100.0
152	R_V6A_ROI	47	2.0	R_Lateral	36	76.59574468085107
153	R_VMV1_ROI	113	0.0	???	113	100.0
154	R_VMV3_ROI	59	0.0	???	59	100.0
155	R_PHA2_ROI	61	0.0	???	61	100.0
156	R_V4t_ROI	45	0.0	???	45	100.0
157	R_FST_ROI	77	0.0	???	64	83.11688311688312
158	R_V3CD_ROI	79	0.0	???	79	100.0
159	R_LO3_ROI	65	0.0	???	44	67.6923076923077
160	R_VMV2_ROI	83	0.0	???	83	100.0
161	R_31pd_ROI	81	0.0	???	81	100.0
162	R_31a_ROI	72	0.0	???	72	100.0
163	R_VVC_ROI	124	0.0	???	120	96.7741935483871
164	R_25_ROI	62	0.0	???	62	100.0
165	R_s32_ROI	52	0.0	???	52	100.0
166	R_pOFC_ROI	118	0.0	???	118	100.0
167	R_PoI1_ROI	163	0.0	???	163	100.0
168	R_Ig_ROI	124	0.0	???	124	100.0
169	R_FOP5_ROI	156	2.0	R_Lateral	149	95.51282051282051
170	R_p10p_ROI	148	0.0	???	142	95.94594594594594
171	R_p47r_ROI	100	2.0	R_Lateral	91	91.0
172	R_TGv_ROI	126	2.0	R_Lateral	108	85.71428571428571
173	R_MBelt_ROI	75	0.0	???	75	100.0
174	R_LBelt_ROI	85	0.0	???	85	100.0
175	R_A4_ROI	187	0.0	???	152	81.28342245989305
176	R_STSva_ROI	81	2.0	R_Lateral	81	100.0
177	R_TE1m_ROI	122	2.0	R_Lateral	122	100.0
178	R_PI_ROI	127	0.0	???	87	68.50393700787401
179	R_a32pr_ROI	127	0.0	???	127	100.0
180	R_p24_ROI	73	0.0	???	73	100.0
181	L_V1_ROI	831	0.0	???	831	100.0
182	L_MST_ROI	73	0.0	???	70	95.8904109589041
183	L_V6_ROI	114	0.0	???	114	100.0
184	L_V2_ROI	619	0.0	???	619	100.0
185	L_V3_ROI	337	0.0	???	337	100.0
186	L_V4_ROI	361	0.0	???	361	100.0
187	L_V8_ROI	49	0.0	???	49	100.0
188	L_4_ROI	839	0.0	???	839	100.0
189	L_3b_ROI	574	0.0	???	574	100.0
190	L_FEF_ROI	153	0.0	???	151	98.69281045751634
191	L_PEF_ROI	72	1.0	L_Lateral	72	100.0
192	L_55b_ROI	130	1.0	L_Lateral	88	67.6923076923077
193	L_V3A_ROI	151	0.0	???	151	100.0
194	L_RSC_ROI	211	0.0	???	211	100.0
195	L_POS2_ROI	250	0.0	???	249	99.6
196	L_V7_ROI	44	0.0	???	42	95.45454545454545
197	L_IPS1_ROI	135	1.0	L_Lateral	76	56.2962962962963
198	L_FFC_ROI	151	1.0	L_Lateral	104	68.87417218543047
199	L_V3B_ROI	77	0.0	???	77	100.0
200	L_LO1_ROI	37	0.0	???	37	100.0
201	L_LO2_ROI	52	0.0	???	52	100.0
202	L_PIT_ROI	62	0.0	???	45	72.58064516129032
203	L_MT_ROI	58	0.0	???	41	70.6896551724138
204	L_A1_ROI	77	0.0	???	77	100.0
205	L_PSL_ROI	163	0.0	???	155	95.0920245398773
206	L_SFL_ROI	185	0.0	???	185	100.0
207	L_PCV_ROI	164	0.0	???	164	100.0
208	L_STV_ROI	138	0.0	???	89	64.4927536231884
209	L_7Pm_ROI	94	0.0	???	84	89.36170212765957
210	L_7m_ROI	130	0.0	???	130	100.0
211	L_POS1_ROI	225	0.0	???	225	100.0
212	L_23d_ROI	81	0.0	???	81	100.0
213	L_v23ab_ROI	72	0.0	???	72	100.0
214	L_d23ab_ROI	88	0.0	???	88	100.0
215	L_31pv_ROI	109	0.0	???	109	100.0
216	L_5m_ROI	112	0.0	???	112	100.0
217	L_5mv_ROI	191	0.0	???	191	100.0
218	L_23c_ROI	243	0.0	???	243	100.0
219	L_5L_ROI	188	0.0	???	185	98.40425531914893
220	L_24dd_ROI	223	0.0	???	223	100.0
221	L_24dv_ROI	141	0.0	???	141	100.0
